id;name;slug;uic8_sncf;sncf_id;is_main_station;parent_station_id
1101;Frohmuhl;frohmuhl;87215715;FRCBH;f;
1104;Chambourg Chopin;chambourg-chopin;87337543;FRCBM;f;1316
1105;Eycheil;eycheil;87232090;FRCBO;f;
1110;Erce;erce;;FRCBT;f;
1111;Aulus-les-Bains;aulus-les-bains;;FRCBU;f;
1112;Latrape;latrape;;FRCBV;f;
1113;Alaï;alai;87722744;FRCBY;f;
1114;Cravant-Bazarnes;cravant-bazarnes;87683649;FRCBZ;f;
1115;Lamure-sur-Azergues;lamure-sur-azergues;87721860;FRCCB;f;
1116;Sorèze;soreze;87235655;FRCCC;f;
1119;Carcassonne;carcassonne;87615286;FRCCF;f;
1120;Balsièges;balsieges;87111864;FRCCG;f;
1123;Châlons-en-Champagne;chalons-en-champagne;;FRCCL;f;
1124;Châlons-en-Champagne Tissier;chalons-en-champagne-tissier;87326413;FRTCC;f;1123
1125;Châlons-en-Champagne;chalons-en-champagne;87174003;FRXCR;t;1123
1126;Châlons-en-Champagne Bagatelle;chalons-en-champagne-bagatelle;;FRLCC;f;1123
1128;Paris-Gare-du-Nord;paris-gare-du-nord;;FRCCO;f;4916
1129;Paris-Gare-du-Nord;paris-gare-du-nord;;FRCCP;f;4916
1137;Culmont-Chalindrey;culmont-chalindrey;87142125;FRCCY;f;
1139;Capdenac;capdenac;87613109;FRCDC;f;
1143;Aéroport-Paris-Roissy-Charles-de-Gaulle CDG;aeroport-paris-roissy-charles-de-gaulle-cdg;;FRCDG;f;
1144;Aéroport-Paris-Roissy-Charles-de-Gaulle CDG;aeroport-paris-roissy-charles-de-gaulle-cdg;87001479;FRMLW;t;1143
1150;Coudekerque-Branche;coudekerque-branche;87281402;FRCDK;f;
1151;Château-du-Loir;chateau-du-loir;87396606;FRCDL;t;4832
1159;Nanteuil-le-Haudouin;nanteuil-le-haudouin;;FRCDU;f;
1160;Ormoy-Villers;ormoy-villers;;FRCDV;f;
1161;Crépy-en-Valois;crepy-en-valois;;FRCDW;f;
1162;Vaumoise;vaumoise;87271601;FRCDX;f;
1163;Villers-Cotterets;villers-cotterets;87271734;FRCDZ;f;
1164;Longpont;longpont;87271775;FRCEA;f;
1165;Vierzy;vierzy;87271783;FRCEB;f;
1166;Crouy;crouy;87271874;FRCED;f;
1167;Margival;margival;87271882;FRCEE;f;
1168;Jaux;jaux;87272013;FRCEF;f;
1173;Choisy-au-Bac;choisy-au-bac;;FRCEK;f;
1175;Esches;esches;87272096;FRCEM;f;
1176;Vineuil-St-Firmin;vineuil-st-firmin;87272104;FRCEN;f;
1177;Courteuil;courteuil;87272112;FRCEO;f;
1178;St-Nicolas-Aumont;st-nicolas-aumont;87272120;FRCEP;f;
1179;Cannes;cannes;;FRCEQ;f;
1180;Cannes;cannes;87757625;FRJCA;t;1179
1181;Cannes—La Bocca;cannes-la-bocca;87757617;FRIBH;f;1179
1182;St-Jean-le-Centenier;st-jean-le-centenier;87764712;FRCES;f;
1183;Cholet;cholet;87484303;FRCET;f;
1185;Longueil-Annel;longueil-annel;87272195;FRCEV;f;
1187;Corcy;corcy;87272286;FRCEY;f;
1188;Paris-Gare-du-Nord-2;paris-gare-du-nord-2;;FRCEZ;f;4916
1193;Clermont-Ferrand;clermont-ferrand;87734004;FRCFE;t;1557
1198;Conflans—Jarny;conflans-jarny;87192666;FRCFJ;f;
1205;Laigneville;laigneville;87276204;FRCFQ;f;
1206;Caen;caen;87444000;FRCFR;f;
1207;Liancourt-Rantigny;liancourt-rantigny;87276212;FRCFS;f;
1213;Orry-la-Ville—Coye;orry-la-ville-coye;;FRCFY;f;
1215;Longueil-Ste-Marie;longueil-ste-marie;87276303;FRCGA;f;
